,0
0,0.48704454
1,0.13841648
2,0.9360812
3,0.90885025
4,0.8699917
5,0.3207331
6,0.36982015
7,0.06622659
8,0.50486374
9,0.83008057
10,0.29409078
11,0.12960196
12,0.3669912
13,0.025858968
14,0.8160942
15,0.5767177
16,0.041011676
17,0.6135892
18,0.10092335
19,0.09861347
20,0.19089572
21,0.9693982
22,0.9273874
23,0.050414
24,0.8097085
25,0.08005616
26,0.9352056
27,0.3771947
28,0.19705749
29,0.9376648
30,0.67652816
31,0.654673
32,0.52887297
33,0.88487643
34,0.4805052
35,0.054763693
36,0.9937989
37,0.3213886
38,0.9909304
39,0.12054809
40,0.37849364
41,0.073046155
42,0.620853
43,0.8327492
44,0.70089203
45,0.48534006
46,0.85225797
47,0.014852433
48,0.8022492
49,0.045882553
50,0.980604
51,0.20685291
52,0.8966354
53,0.09539899
54,0.7690347
55,0.46252263
56,0.51944566
57,0.79508877
58,0.5996658
59,0.9690355
60,0.32931492
61,0.12421164
62,0.19297615
63,0.06102574
64,0.113940924
65,0.06515484
66,0.11782857
67,0.3523075
68,0.098198965
69,0.24981998
70,0.1895464
71,0.975501
72,0.975501
73,0.975501
74,0.8500764
75,0.28288606
76,0.28288606
77,0.28288606
78,0.99559927
79,0.99559927
80,0.91959536
81,0.46297947
82,0.5359233
83,0.5359233
84,0.06415287
85,0.06415287
86,0.06415287
87,0.87032616
88,0.87032616
89,0.3734035
90,0.3734035
91,0.68157625
92,0.8433332
93,0.8433332
94,0.8433332
95,0.5816444
96,0.34428385
97,0.34428385
98,0.34428385
99,0.94347626
100,0.9205333
101,0.9205333
102,0.10870314
103,0.10870314
104,0.33931676
105,0.33931676
106,0.33931676
107,0.5348164
108,0.5348164
109,0.31480917
110,0.31480917
111,0.83808166
112,0.83808166
113,0.5462253
114,0.5462253
115,0.5462253
116,0.8884005
117,0.8884005
118,0.2943142
119,0.2943142
120,0.9660316
121,0.06654167
122,0.06654167
123,0.06654167
124,0.82117754
125,0.9957045
126,0.22132106
127,0.07476112
128,0.61184824
129,0.61184824
130,0.8591486
131,0.81972915
132,0.06717332
133,0.06717332
134,0.06717332
135,0.6975252
136,0.6975252
137,0.6975252
138,0.25500852
139,0.25500852
140,0.6727271
141,0.6727271
142,0.1320525
143,0.1320525
144,0.5269914
145,0.81293035
146,0.08273842
147,0.08273842
148,0.08273842
149,0.525816
150,0.525816
151,0.958275
152,0.1481157
153,0.1481157
154,0.7154806
155,0.7154806
156,0.1406882
157,0.1406882
158,0.1406882
159,0.51158506
160,0.51158506
161,0.51158506
162,0.18584646
163,0.18584646
164,0.9355644
165,0.46248558
166,0.48185566
167,0.81521416
168,0.81521416
169,0.17574137
170,0.17574137
171,0.93732375
172,0.23032187
173,0.23032187
174,0.852226
175,0.852226
176,0.05004326
177,0.05004326
178,0.05004326
179,0.6943336
180,0.6943336
181,0.6943336
182,0.8590895
183,0.8947543
184,0.81883687
185,0.81883687
186,0.81883687
187,0.38939974
188,0.54427516
